Nama Hotel,Tipe Properti,Bintang Hotel,Rating,Lokasi,Harga Diskon,Harga Asli,Fasilitas,URL Gambar
ARTOTEL Gelora Senayan Jakarta,Hotel,4,9.1 (778 ulasan),"Senayan, Jakarta",Rp 1.512.775,Rp 2.017.033,Restoran show cooking; Ruang santai; Sewa mobil; Layanan pijat,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20077495-69cef87d29a462867759d12ae1e40791.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Hotel Indonesia Kempinski Jakarta,Hotel,5,8.9 (5rb ulasan),"Thamrin, Jakarta",Rp 3.418.919,Rp 4.558.558,Area main anak; Sewa mobil; Fasilitas bisnis; Antar-jemput bandara,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20020708-cba6d863056a1910b400710aacab716f.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Merlynn Park Hotel,Hotel,5,8.6 (17rb ulasan),"Petojo Utara, Jakarta",Rp 724.306,Rp 965.741,Great value in its class; Tanda khusus bagi tuna netra; Penitipan anak,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/10000019-6db0cee95530d2b51487b4b1abfd433f.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Millennium Hotel Sirih Jakarta,Hotel,4,8.7 (6rb ulasan),"Tanah Abang, Jakarta",Rp 781.396,Rp 1.041.861,Pusat kebugaran; Aksesibel bagi penyandang disabilitas,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000535-2f4f7bdc6f5a444c2f45fc15468a43f3.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Front One Boutique Hotel Taman Anggrek,Hotel,3,9.1 (666 ulasan),"Tanjung Duren, Jakarta",Rp 269.779,Rp 359.705,Karaoke; Layanan pijat; Fasilitas bisnis; Aksesibel bagi penyandang disabilitas; Spa,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20071455-2390b90a7859f2c31c3bd9af05efaf8f.png?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Mangkuluhur ARTOTEL SUITES,Hotel,5,"8.7 (1,4rb ulasan)","Gatot Subroto, Jakarta",Rp 1.052.580,Rp 1.403.439,Layanan pijat; Pusat kebugaran; Antar-jemput bandara,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20053133-38b716f38fd273ef2ff135ea6d29243b.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Manhattan Hotel Jakarta,Hotel,5,"8.3 (8,8rb ulasan)","Rasuna Said, Jakarta",Rp 1.034.017,Rp 1.378.689,Infinity Pool Unik; Tanda khusus bagi tuna netra; Dapur kecil; Fasilitas bisnis,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/7000000/6730000/6728900/6728849/605d35ea_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Pan Pacific Jakarta,Hotel,5,9.6 (100 ulasan),"Thamrin, Jakarta",Rp 2.350.515,Rp 3.134.019,Mandi uap; Pusat kebugaran; Bilyar,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20075058-d45e60897eade30e3b3911eaaa9f1152.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Gran Melia Jakarta,Hotel,5,"8.8 (1,8rb ulasan)","Kuningan, Jakarta",Rp 1.981.784,Rp 2.642.378,Jacuzzi; Layanan pijat; Pusat kebugaran; Bar di kolam renang; Sauna; Spa,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10001888-2200x1467-FIT_AND_TRIM-d115ee6fb49b5c1b3d20fc6850088a8c.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
grandkemang Hotel,Hotel,4,"8.4 (3,6rb ulasan)","Kemang, Jakarta",Rp 508.904,Rp 678.538,Bar; Klub malam; Sewa mobil; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10013035-1200x845-FIT_AND_TRIM-affbbd70857894e2e5d0a3fbc7e91c67.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
